NAME: WALL_FOLLOWING_ROBOT_2
NB_SAMPLES: 5456
NB_ATTRIBUTES: 2
ATTRIBUTE_TYPES: N N
NB_CLASSES: 4
1.687 0.445 1
1.687 0.449 1
1.687 0.449 1
1.687 0.449 1
1.687 0.449 1
1.686 0.446 1
1.684 0.451 1
1.680 0.453 1
0.753 0.457 2
0.744 0.462 2
0.735 0.467 2
0.729 0.469 2
0.723 0.477 2
0.757 0.480 2
0.760 0.483 2
0.757 0.482 2
0.761 0.482 2
0.762 0.482 2
0.765 0.482 2
0.812 0.481 2
0.814 0.480 2
0.811 0.479 2
0.908 0.478 1
1.270 0.477 1
1.639 0.476 1
1.638 0.475 1
1.637 0.474 1
1.636 0.475 1
1.635 0.475 1
1.635 0.475 1
1.635 0.475 1
1.635 0.475 1
1.633 0.475 1
1.629 0.474 1
1.624 0.473 1
1.618 0.473 1
1.611 0.473 1
1.609 0.472 1
1.603 0.471 1
0.576 0.471 2
1.581 0.471 1
1.572 0.471 1
1.562 0.470 1
1.553 0.470 1
1.179 0.470 1
1.167 0.470 1
1.159 0.471 1
1.151 0.471 1
1.143 0.471 1
1.136 0.471 1
1.128 0.472 1
1.477 0.472 1
1.129 0.473 1
1.457 0.473 1
1.448 0.474 1
1.438 0.475 1
1.428 0.486 1
1.418 0.485 1
1.409 0.486 1
1.399 0.485 1
1.390 0.486 1
1.380 0.487 1
1.370 0.489 1
1.361 0.491 1
1.354 0.494 1
1.344 0.496 0
1.330 0.498 0
1.320 0.499 0
1.310 0.501 0
1.298 0.504 0
1.285 0.507 0
1.271 0.511 0
1.256 0.515 0
1.239 0.520 0
1.223 0.525 0
1.206 0.530 0
1.188 0.535 0
1.170 0.541 0
1.152 0.548 0
1.133 0.554 0
1.114 0.560 0
1.094 0.567 0
1.075 0.573 0
1.056 0.580 0
1.037 0.586 0
1.019 0.593 0
1.001 0.599 0
0.983 0.606 0
0.966 0.612 0
0.948 0.619 0
0.931 0.625 0
0.914 0.632 0
0.898 0.638 2
0.881 0.645 2
0.864 0.652 2
0.847 0.658 2
0.830 0.660 2
0.815 0.662 2
0.801 0.667 2
0.792 0.670 2
0.792 0.665 2
0.795 0.666 2
0.796 0.665 2
0.796 0.665 2
0.796 0.665 2
0.799 0.664 2
0.799 0.664 2
0.798 0.664 2
0.799 0.664 2
0.798 0.663 2
0.797 0.666 2
0.792 0.671 2
0.791 0.684 2
0.790 0.674 2
0.789 0.660 2
0.788 0.660 2
0.787 0.659 2
0.786 0.661 2
0.785 0.665 2
0.788 0.717 2
0.787 0.833 2
0.790 0.779 2
0.814 0.668 2
0.807 0.809 2
0.786 0.805 2
0.785 0.804 2
0.787 0.854 2
0.791 0.800 2
0.794 0.786 2
0.814 0.780 2
0.880 0.776 2
1.593 0.774 0
1.593 0.770 0
1.593 0.765 0
1.593 0.765 0
1.592 0.763 0
1.591 0.763 0
1.590 0.763 0
1.588 0.763 0
1.586 0.758 0
1.576 0.759 0
1.566 0.753 0
1.555 0.751 0
0.932 0.745 0
1.525 0.739 0
1.508 0.733 0
1.494 0.727 0
1.473 0.721 0
1.454 0.715 0
1.438 0.707 0
1.419 0.700 0
1.399 0.694 0
1.379 0.690 0
1.358 0.683 0
1.338 0.673 0
1.317 0.666 0
0.891 0.663 2
1.276 0.652 0
1.255 0.645 0
1.233 0.638 0
1.212 0.627 0
1.193 0.623 0
1.174 0.613 0
1.156 0.607 0
1.138 0.600 0
1.121 0.594 0
1.105 0.588 0
1.089 0.582 0
1.074 0.576 0
1.058 0.570 0
1.043 0.564 0
1.026 0.562 0
1.009 0.555 0
0.989 0.549 0
0.733 0.539 2
0.711 0.540 2
0.679 0.530 2
0.658 0.521 2
0.650 0.515 2
0.644 0.509 2
0.639 0.504 2
0.860 0.504 2
0.859 0.496 2
0.861 0.491 2
0.865 0.491 2
0.865 0.491 2
0.865 0.490 2
0.865 0.490 2
0.865 0.489 2
0.865 0.488 2
0.868 0.487 2
